# source=Family 1, view=Singularity, params=baseline_3dof, exported=2026-06-23, key=|det J| floor 0.02, 46x46 grid
x,y,reachable,detJ
-0.2152,0.5016,1,0.03384
-0.2152,0.5310,0,
-0.2152,0.5603,0,
-0.2152,0.5897,0,
-0.2152,0.6190,0,
-0.2152,0.6484,0,
-0.2152,0.6777,0,
-0.2152,0.7071,0,
-0.2152,0.7364,0,
-0.2152,0.7658,0,
-0.2152,0.7951,0,
-0.2152,0.8245,0,
-0.2152,0.8538,0,
-0.2152,0.8832,0,
-0.2152,0.9125,0,
-0.2152,0.9418,0,
-0.2152,0.9712,0,
-0.2152,1.0005,0,
-0.2152,1.0299,0,
-0.2152,1.0592,0,
-0.2152,1.0886,0,
-0.2152,1.1179,0,
-0.2152,1.1473,0,
-0.2152,1.1766,0,
-0.2152,1.2060,0,
-0.2152,1.2353,0,
-0.1674,-0.0853,1,0.00563
-0.1674,-0.0560,1,0.00481
-0.1674,-0.0266,1,0.00387
-0.1674,0.0027,1,0.00282
-0.1674,0.0321,1,0.00166
-0.1674,0.0614,1,0.00039
-0.1674,0.0908,1,0.00097
-0.1674,0.1201,1,0.00243
-0.1674,0.1495,1,0.00396
-0.1674,0.1788,1,0.00557
-0.1674,0.2082,1,0.00724
-0.1674,0.2375,1,0.00896
-0.1674,0.2668,1,0.01074
-0.1674,0.2962,1,0.01258
-0.1674,0.3255,1,0.01446
-0.1674,0.3549,1,0.01641
-0.1674,0.3842,1,0.01843
-0.1674,0.4136,1,0.02052
-0.1674,0.4429,1,0.02272
-0.1674,0.4723,1,0.02504
-0.1674,0.5016,1,0.02752
-0.1674,0.5310,1,0.03017
-0.1674,0.5603,1,0.03305
-0.1674,0.5897,1,0.03620
-0.1674,0.6190,0,
-0.1674,0.6484,0,
-0.1674,0.6777,0,
-0.1674,0.7071,0,
-0.1674,0.7364,0,
-0.1674,0.7658,0,
-0.1674,0.7951,0,
-0.1674,0.8245,0,
-0.1674,0.8538,0,
-0.1674,0.8832,0,
-0.1674,0.9125,0,
-0.1674,0.9418,0,
-0.1674,0.9712,0,
-0.1674,1.0005,0,
-0.1674,1.0299,0,
-0.1674,1.0592,0,
